title,subject,url,description
Introduction to Aerospace Engineering and Design (Spring 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-00-introduction-to-aerospace-engineering-and-design-spring-2003,"The fundamental concepts, and approaches of aerospace engineering, are highlighted through lectures on aeronautics, astronautics, and design. Active learning aerospace modules make use of information technology. Student teams are immersed in a hands-on, lighter-than-air (LTA) vehicle design project, where they design, build, and fly radio-controlled LTA vehicles. The connections between theory and practice are realized in the design exercises. Required design reviews precede the LTA race competition. The performance, weight, and principal characteristics of the LTA vehicles are estimated and illustrated using physics, mathematics, and chemistry known to freshmen, the emphasis being on the application of this knowledge to aerospace engineering and design rather than on exposure to new science and mathematics."
"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design (Spring 2009)",mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009,"Student teams formulate and complete space/earth/ocean exploration-based design projects with weekly milestones. This course introduces core engineering themes, principles, and modes of thinking, and includes exercises in written and oral communication and team building. Specialized learning modules enable teams to focus on the knowledge required to complete their projects, such as machine elements, electronics, design process, visualization and communication. Examples of projects include surveying a lake for millfoil from a remote controlled aircraft, then sending out robotic harvesters to clear the invasive growth; and exploration to search for the evidence of life on a moon of Jupiter, with scientists participating through teleoperation and supervisory control of robots."
"Unified Engineering I, II, III, & IV (Fall 2005)",aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,
"Unified Engineering I, II, III, & IV (Fall 2005)",aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,
"Unified Engineering I, II, III, & IV (Fall 2005)",aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,
"Unified Engineering I, II, III, & IV (Fall 2005)",aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,
Thermal Energy (Fall 2002),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-050-thermal-energy-fall-2002,"This course is taught in four main parts. The first is a review of fundamental thermodynamic concepts (e.g. energy exchange in propulsion and power processes), and is followed by the second law (e.g. reversibility and irreversibility, lost work). Next are applications of thermodynamics to engineering systems (e.g. propulsion and power cycles, thermo chemistry), and the course concludes with fundamentals of heat transfer (e.g. heat exchange in aerospace devices)."
Principles of Automatic Control (Fall 2012),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012,"This course introduces the design of feedback control systems as applied to a variety of air and spacecraft systems. Topics include the properties and advantages of feedback systems, time-domain and frequency-domain performance measures, stability and degree of stability, the Root locus method, Nyquist criterion, frequency-domain design, and state space methods."
Dynamics (Fall 2009),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-07-dynamics-fall-2009,"This course covers the fundamentals of Newtonian mechanics, including kinematics, motion relative to accelerated reference frames, work and energy, impulse and momentum, 2D and 3D rigid body dynamics. The course pays special attention to applications in aerospace engineering including introductory topics in orbital mechanics, flight dynamics, inertial navigation and attitude dynamics. By the end of the semester, students should be able to construct idealized (particle and rigid body) dynamical models and predict model response to applied forces using Newtonian mechanics."
Aerodynamics (Fall 2005),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-100-aerodynamics-fall-2005,"This course extends fluid mechanic concepts from Unified Engineering to the aerodynamic performance of wings and bodies in sub/supersonic regimes. 16.100 generally has four components: subsonic potential flows, including source/vortex panel methods; viscous flows, including laminar and turbulent boundary layers; aerodynamics of airfoils and wings, including thin airfoil theory, lifting line theory, and panel method/interacting boundary layer methods; and supersonic and hypersonic airfoil theory. Course material varies each year depending upon the focus of the design problem."
